,PSNR Processed,SSIM Processed
117,29.15570964,0.649785701
118,29.02743994,0.820068355
119,28.5842042,0.703210592
120,28.75465828,0.823470683
121,29.06651052,0.703475073
122,28.80772501,0.834201444
123,28.43732711,0.727494511
124,28.47377612,0.575189876
125,28.98853068,0.818717402
126,29.01582883,0.746466317
127,29.16070836,0.792272876
128,28.67719872,0.828507131
129,28.35325686,0.773904999
130,28.87858001,0.650104055
131,28.35490709,0.802011317
132,28.76868515,0.670826745
133,30.22344299,0.833316134
134,28.84677964,0.637264806
135,29.12353406,0.695878672
136,28.90114568,0.822820601
137,28.51130293,0.830860808
138,29.05724862,0.673041655
139,29.15826773,0.666148994
140,29.18031932,0.646727919
141,30.4038663,0.829419966
142,29.00417726,0.592735456
143,30.02644533,0.910818569
144,28.79087073,0.71917239
145,30.13679811,0.818336597
146,29.06665095,0.585980595
147,29.41508679,0.847470801
148,28.96903851,0.624797598
149,28.92013139,0.684654136
150,28.44518636,0.707452942
151,28.59384905,0.667959464
152,29.2379432,0.775608695
153,28.97781454,0.812231565
154,28.91861801,0.587636374
155,28.80791862,0.614701968
156,28.88674713,0.581801805
157,29.12952338,0.806532918
158,28.79940648,0.750496
159,29.31441887,0.832805672
160,28.75739045,0.790253607
161,29.02978532,0.624517759
162,28.6207487,0.69916886
163,29.20369329,0.6665478
164,29.02381859,0.802266594
165,28.71531322,0.74893394
166,28.62755847,0.614912414
167,28.85899701,0.83032727
168,29.01332373,0.802538688
169,29.23548072,0.665880313
170,29.16010322,0.865340089
171,29.41464212,0.840382014
172,28.71452811,0.597731575
173,28.97991955,0.870332516
174,28.56575896,0.839629408
175,28.49988808,0.691711795
176,28.86402163,0.768652485
177,29.09764375,0.726985337
178,28.63438157,0.590656869
179,29.10440675,0.674286641
180,28.66878049,0.616023692
181,28.20704117,0.850261878
182,28.89400262,0.68318315
183,30.15816305,0.831440879
184,28.79830519,0.531990014
185,28.92733793,0.606501915
186,28.34345592,0.794829044
187,28.75417073,0.621347078
188,28.85406975,0.834758171
189,29.27664346,0.806073765
190,29.44149691,0.836626614
191,29.03730163,0.629663439
192,29.34820236,0.872177547
193,28.43481593,0.760843424
194,28.4028539,0.779245241
195,28.842852,0.791991629
196,29.14142146,0.695100804
197,28.95472801,0.652983551
198,29.19545341,0.754371659
199,28.97998046,0.847539273
200,28.89036878,0.634570702
201,28.33369306,0.788304325
202,28.96129418,0.795501099
203,28.97783529,0.749523713
204,29.09596467,0.824525637
205,28.4078994,0.85231807
206,28.93552142,0.651845378
207,28.78016133,0.819427434
208,28.77696756,0.535729251
209,29.02446448,0.649895442
210,28.47449071,0.792271846
211,28.47781249,0.837799654
212,28.66258936,0.861362075
213,28.73075892,0.778800978
214,29.8777559,0.779944775
215,28.95870376,0.593822784
216,29.04063634,0.835701649
217,28.72721831,0.604700653
218,28.70058906,0.536381534
219,28.81753118,0.651586417
220,28.60198546,0.732654026
221,28.67665594,0.749545731
222,28.97996593,0.784398496
223,28.81298085,0.575945626
224,29.09299295,0.816289731
225,30.31484733,0.79485538
226,30.08481485,0.815542753
227,28.92546325,0.630280289
228,29.26675414,0.695711565
229,28.83576918,0.67516547
230,29.04356319,0.824130419
231,28.95070399,0.825878692
232,29.85485279,0.807684885
233,30.10664633,0.826409089
234,29.03689179,0.601736491
235,28.8525152,0.737813218
236,28.29939827,0.787190938
237,28.96740142,0.827092995
238,30.41960893,0.814620391
239,29.05340676,0.85981481
240,28.80567313,0.83835075
241,30.05677432,0.833877579
242,28.74254367,0.787062731
243,28.56930124,0.832367887
244,28.77584902,0.561127019
245,28.855781,0.809979725
246,29.34450686,0.743824974
247,28.58736559,0.703411648
248,29.07290627,0.682849961
249,28.94563381,0.617235067
250,28.43544992,0.747006344
251,28.93609321,0.790796073
252,28.92815976,0.78820471
253,29.03878897,0.806708718
254,28.85122347,0.802746572
255,28.2439663,0.797113005
256,28.40508202,0.80876303
257,30.29893054,0.862812906
258,29.39536889,0.725838932
259,29.13953774,0.839658945
260,28.57041509,0.559470499
261,29.16000724,0.713726952
262,28.78825422,0.840942173
263,29.02330303,0.672206161
264,28.79456053,0.620933242
265,28.96777212,0.797289868
266,29.16213436,0.873888216
267,29.36494366,0.858542713
268,28.7956222,0.709516012
269,28.6205302,0.593395233
270,29.49543806,0.847052661
271,28.40881277,0.616537073
272,28.91930768,0.542011901
273,28.16511643,0.81697852
274,28.91224274,0.80799214
275,29.0063079,0.852890657
276,28.92974066,0.746934963
277,29.41694042,0.842871727
278,29.13433947,0.770350238
279,28.78242178,0.641676108
280,29.61292812,0.874064432
281,29.18820971,0.756610032
282,29.12244348,0.806428311
283,28.76588645,0.530228788
284,28.92016452,0.773969546
285,28.72998843,0.641029123
286,28.82244488,0.84445836
287,28.8544942,0.775192144
288,28.59796452,0.666305931
289,29.39822047,0.824156526
290,29.49317852,0.8315248
291,28.89206919,0.592052952
